DISTRICT,ACTIVITY,DATE,RATING,PARTY,ASSEMBLY
Ramanathapuram,"Coronation Relief Items were distributed to 200 poor families in Sethunagar, Ramanathapuram district by the Union Secretary Mr- M Ashokumar- #FieldFormat_ConnectConfiguration # COVID19 #TNAgainstCorona #TamilNadu",15/5/2020,3.2,ADMK,Ramanathapuram
Ramanathapuram,More than 2 thousand poor families affected by unemployment at Ramanathapuram district hall presented a packet of food and groceries to the legislator Mr- Manikandan- #Corona in the field,13/5/2020,5.2,ADMK,Ramanathapuram
Ramanathapuram,"Mrs- Keerthika Muniyasamy, Co-ordinator of Women Affairs, presented a collection of rice, vegetables and groceries to 4 lakh families in the villages of Ramanathapuram-Mudukulathur and Kadaladi- # Kalattilatimukakanamalponatimuka",12/5/2020,9.5,ADMK,Mudhukulathur
Ramanathapuram,"Dr- Shri- Krishnakumar, Deputy Secretary and Member of the Legislative Council of the Rice and Vegetables Association of Rice and Vegetables, has been serving over 1000 people in Pasumpon town of Ramanathapuram district- They were provided by Manikandan- #Corona #TNAgainstCorona #TamilNadu",11/5/2020,4.2,ADMK,Ramanathapuram
Ramanathapuram,"Mrs- Kirthaka Muniyasamy, Joint Secretary of the Association, has provided relief assistance to over 100 deaf and hard of hearing persons from Parakkudi, Ramanathapuram district- #Corona #TNAgainstCorona #TamilNadu #Coronavirus",6/5/2020,2.8,ADMK,Paramakudi
Ramanathapuram,"The coroner gave the donation of rice and essentials to Mr- M- Manikandan, a coroner's anti-virus relief fund to 1000 people living in Anna Nagar area of ??Ramanathapuram district- # COVID19 #TNAgainstCorona #TamilNadu #coronavirus",5/5/2020,4.6,ADMK,Ramanathapuram
Ramanathapuram,"The legislator, Mr- M- Manikandan, paid a check for Rs- 70,000 on behalf of the Corporation to provide free food to the public till May 17 at the Amma Restaurant, which operates in Ramanathapuram- The municipal commissioner gave them-",6/6/2020,4.5,ADMK,Ramanathapuram
Ramanathapuram,"At the Sayalgudi Baruranchi district in Ramanathapuram district, the secretary of the district corporation Mr- MMA Muniyasamy distributed essential items including rice and vegetables to 500 purity workers and 5000 families- #Corona #TNAgainstCorona",30/5/2020,6.3,ADMK,Ramanathapuram
Sivagangai,Devakottai Sivaganga district in the annals of the state cadet Corona on behalf of the interests affected by the auto drivers to provide fuel for 100 autos District Association Secretary tirupiarcentilnatan they inaugurated the event- # Kalattilatimukakanamalponatimuka #AIADMK,23/5/2020,2.4,ADMK,Sivagangai
Sivagangai,Sivaganga district collector's office Velammal kalvikkulumam Corona virus activity on behalf of the 8-ton rice Minister @GBaskaranoffl special relief material provided to them- #Corona #TNAgainstCorona #TamilNadu,23/5/2020,3.5,ADMK,Sivagangai
Sivagangai,"Sivaganga district, local barber Tirupathur 250 families, 120 families of dry rice, lentils, pulses, sugar and essential items including club spokesman tirumarutu alakuraj gave them- # Kalattilatimukakanamalponatimuka",12/5/2020,3.7,ADMK,Tirupathur
Sivagangai,Cleaning staff working in Sivaganga district panchayat Chacko onriyattirkutpatta Corona relief items to 300 persons Chacko presented to EU Commission President tirucaranya Senthil Nathan- # Kalattilatimukakanamalponatimuka #AIADMK #coronavirus,2/5/2020,2.8,ADMK,Sivagangai
Sivagangai,10 thousand poor families in the constituency Sivaganga district Tirupathur Association spokesman tirumarutu alakuraj Corona gave them relief items- # Kalattilatimukakanamalponatimuka #coronavirus #TNAgainstCorona #TamilNadu,29/5/2020,6.3,ADMK,Sivagangai
Sivagangai,Corona virus activity in Sivaganga district panchayat kilapunkuti worth Rs 2 million in aid to 120 families and provided them @GBaskaranoffl Minister- #Corona #TNAgainstCorona #TamilNadu,23/5/2020,3.7,ADMK,Sivagangai
Theni,"On behalf of the Theni District Corporation, 290 laundry and hair repair workers in the Uttamapayalam and Kombai districts were provided with relief items including rice- #COVID ? 19",22/5/2020,2.8,ADMK,Andipatti
Theni,"Coroner Relief items worth Rs- 1,000 each were distributed to 418 persons as barbers and laundry workers on behalf of the district corporation in the Theni district- # Kalattilatimukakanamalponatimuka",18/5/2020,3.7,ADMK,Periyakulam
Theni,"Theni town secretary, Mr- Krishnakumar presented relief items including rice and groceries to 960 persons, barbers and laundry workers on behalf of Theni District Corporation- #DefineAcademic_ConnectPointMode #AIADMK #coronavirus #TNAgainstCorona",18/5/2020,3.7,ADMK,Periyakulam
Theni,Relief items were distributed to 255 people by Coronavirus Antivirus in the Chinnamanur Municipality of Theni District by the Kumbam Legislative Councilor Mr- SDKKakayan- #Define domain_controlledonline #Coronavirus #TNAgainstCorona,16/5/2020,2.8,ADMK,Cumbum
Theni,"The President of the Panchayat Union, Mr- Lokrajan, distributed relief items to 600 persons, including cleaning workers, barbers and laundry workers in Theni District Antipatti Baroque and Eastern Union- #Corona in the field",11/5/2020,3.5,ADMK,Andipatti
Theni,"Chairman of the Panchayat Union Mr- Lokrajan distributed relief items to 400 persons including cleaners, barbers and laundry workers in Theni District Antipathy Union areas- #DefineAcademic_ConnectPointFormat #Corona #TNAgainstCorona",8/5/2020,3.2,ADMK,Andipatti
Theni,Poonam legislator Mr- SDK Jakayan provided welfare assistance to 300 clean workers at Theni district- #Corona #TNAgainstCorona #TamilNadu,2/5/2020,3.5,ADMK,Periyakulam
Theni,The Municipal Commissioner has presented a check for Rs-8.73 lakh on behalf of the Corporation to District Food Secretary Mr-SPMSayatun on behalf of the Corporation- #AmmaUnavagam,3/6/2020,4.5,ADMK,Periyakulam
Theni,Theni MP @OPRavindranath paid a sum of Rs- 17 lakhs as compensation to 1700 workers in Theni district for coronavirus prevention- #Corona #Coronavirus #TNAgainstCorona #TamilNadu,1/6/2020,5.5,ADMK,Andipatti
Dindigul,"The Secretary of the Corporation Mr- Nattam Ravi Viswanathan distributed 5 kg rice packets to all the family card holders of the Parali Adi Dravidar Colony in Dindigul district, Nattam Assembly constituency- #DefineAcademic_ConnectPointMode #AIADMK #Corona",27/5/2020,3.5,ADMK,Natham
Dindigul,"The Secretary of the Association, Mr- Nadnam Ira Viswanathan presented 5 kg rice packets to the villagers of Dindigul district, Natham Legislative Assembly, Sanarpatti Union, Vettaikaran Budur village- #Domain_initial_controlled",23/5/2020,3.5,ADMK,Natham
Dindigul,"#MoU has been signed for South Korea's Mando Automotive India Private Limited's Casting Facility Project at Kanchi-Chipkat Pillaipakkam Industrial Park, employing about 250 people- #InvestinTN",22/5/2020,4.5,ADMK,Dindigul
Dindigul,"Mr- VPB Paramasivam, a member of the Legislative Assembly, distributed relief items to 1500 poor families in Kalvarpatti panchayat area in Vedasandur block of Dindigul district- #FieldFormat",20/5/2020,4.6,ADMK,Vedasandur
Dindigul,"Mr- VPB Paramasivam, a member of the Legislative Assembly, distributed coronary relief items to 250 poor families at Vedasandur block in Dindigul district- #Domain_initial_controlled",19/5/2020,3.5,ADMK,Vedasandur
Dindigul,"Mr- VPB Paramasivam, a member of the Legislative Council, distributed relief items to 500 poor families in the Kujiliyambara Union Union R-Velodu Panchayat, Vedasandur constituency in Dindigul district- #Domain_initial_controlled",18/5/2020,4.6,ADMK,Vedasandur
Dindigul,"Mr- VPB Paramasivam, a member of the Legislative Council, distributed relief items to 400 families in Vidasandur constituency, Dindigul district, Kujiliyambara Union, Thirukkurum- #Define domain_controlled",15/5/2020,3.5,ADMK,Vedasandur
Dindigul,"The Secretary of the Association Mr- Nattam Viswanathan distributed 5 kg rice to all family card holders at the Centurion Panchayat, Dattukal district- #Domain_initial_controlled",14/5/2020,3.5,ADMK,Dindigul
Dindigul,"At a function held at Kodaikanal Municipal Bus Stand in Dindigul district, the District Collector distributed relief items to 1,350 beneficiaries worth Rs- 6-50 lakh- #TNAgainstCorona #coronavirus #TamilNadu #StayHome",7/5/2020,4.9,ADMK,Dindigul
Dindigul,"Member of the Legislative Assembly Mr- VPB Paramasivam distributed groceries to 1700 families in the Lunakkot Panchayat, Kujiliyambara Union, Dindigul District- #Corona #TNAgainstCorona #TamilNadu",5/5/2020,4.9,ADMK,Vedasandur
Dindigul,"In several panchayats including Kudappam, Andipatti, Vedasandur constituency in Dindigul district, Coroner Virus Immunization was distributed to more than 1500 families by providing relief items such as rice and vegetables to legislator Mr- VPB Paramasivam-",6/5/2020,4.6,ADMK,Vedasandur
Dindigul,"Mr- VPB Paramasivam, District Secretary and Member of the Legislative Assembly, distributed rice and food items to 1000 families in the Kujiliyambara Union Union T- Gudalur Panchayat, which belongs to Vedasandur constituency in Dindigul district- #Corona #TNAgainstCorona",3/5/2020,4.6,ADMK,Vedasandur
Dindigul,"The Secretary of the Corporation Mr- Nattam Ravi Viswanathan presented a collection of relief items to the families of over 4000 purity workers, hair correction workers in Dindigul district- #Corona #TNAgainstCorona #Coronavirus",1/5/2020,4.9,ADMK,Natham
Dindigul,Relief Events in Dindigul District @MNMDtDindigul,7/6/2020,3,MNM,Dindigul
Dindigul,And Deputy Secretary to the Vegetable Operations Team .JC Sivapalaguru (Madurai Region). Contributed by Selvakumar,28/5/2020,3.4,MNM,Madurai Central
Dindigul,"Presented with bags of rice. Branch executives of the party were present at the event. Weeramani, Chinnathurai, Balamurugan, Velmurugan, Ajay, Loganathan, Kumar and other members of the party were also present.",28/5/2020,2.4,MNM,Dindigul
Dindigul,"Dindigul Southeast District Secretary Mr. N. Omkumar, Coordinator Mr.K. Stalin, Dindigul Western Union Secretary T. ## #MNMDuringCorona #MNMSoldiersOnField",14/5/2020,2.7,MNM,Dindigul
Dindigul,"On behalf of the Western Union of People's Justice of Dindigul, the Mullipady panchayat area headed by the Union Secretary distributed vegetables to poor people. Partner with Branch Administrators ",14/5/2020,4.4,MNM,Dindigul
Dindigul,"On behalf of the Western Union People's Justice Center in Dindigul, the Mullipady panchayat area headed by the Union Secretary was given Kapasura drinking water to the people of the area.",3/5/2020,2.4,MNM,Dindigul
Dindigul,"On behalf of the people of Dindigul, the Union Secretary of the Western Union Justice Department, Seelapady was given vegetables, including coconuts. Partner with Branch Administrators",3/5/2020,3.1,MNM,Dindigul
Dindigul,"Kapasura was provided with drinking water and masks for the residents of the Pallipatti panchayat area headed by the Union Secretary on behalf of the Western Union People's Justice Center, Dindigul. ",2/5/2020,2.1,MNM,Dindigul
Dindigul,Dindigul West Union Secretary In the presence of T. Thirumurthy 50 rice and vegetables were distributed to 50 unemployed families in the outskirts of Dindigul 2/3 #MNMLabourDay @maiamofficial @MaiamITOfficial,2/5/2020,2.6,MNM,Dindigul
Dindigul,Mr Senthil Raja Union Secretary Mr Wiswanathan and Mr Dharmaraj Thirukarupasamy Mr Palanivel presented rice to families who lost their jobs due to coronation in Ottancharam area on May Day 2/2 ,1/5/2020,5,MNM,Oddanchatram
Dindigul,Dindigul North Secretary District Secretary Mr Karuppasamy presented rice to the family who lost their jobs due to coronavirus in the Ottancharam area on May Day.,1/5/2020,2.6,MNM,Oddanchatram
Madurai,Tarun Homeopathic Clinic Dr S. Sudhamathi Sivakumar & Group donated 1500 people free of charge 'Arsenicum Album' today (31/5/2020) to the Madurai Avaniyapuram area 92nd ward.,31/5/2020,3.5,MNM,Madurai Central
Madurai,"Mr. Nathaswara is a artist residing in Kechananipatti, Vadamadurai, Dindigul district. Saravanan is the rice for his family. State Vice Secretary of Grocery and Vegetable Operations Team. Contributed by Selvakumar.",28/5/2020,2.4,MNM,Madurai Central
Theni,Kapasura Drinking Water and Mask were provided at Maliyamangalam Primary Health Center and Vaidya Mandapam in Vadukapatti on behalf of Theni East District People's Justice Party.,27/5/2020,2.7,MNM,Periyakulam
Madurai,"N. Muthivadivel, Senthil Raj & Kannan presented a packet of rice, groceries and vegetables to 10 families of curfew.",13/5/2020,2.1,MNM,Madurai Central
Tirunelveli,By the plan Ondrinaivoom vaa in 25 distircts 2 lakh food parcels where given to peoples,1/5/2020,8.4,DMK,No Data
Tirunelveli,In 5 ward Deputy organizer of the district weaving team Maari saamy distributed 25 releif fund to poor peoples,2/5/2020,3.5,DMK,Nanguneri
Tirunelveli,Vice President of State Trading Team Mr. Ayyada dhurai gave Rs. 500  each to auto drives,2/5/2020,2,DMK,No Data
Tirunelveli,In Sankara Nayinar Temple Vice President of State Trading Team Mr. Ayyada dhurai gave 2500 each to tepmle organisers,2/5/2020,4,DMK,Sankarankovil
Tirunelveli,In 21st ward District Secretary Abdul Wahab provided releif fund to people,3/5/2020,3.2,DMK,Sankarankovil
Tirunelveli,Western District Secretary Shiva Padmanathan gave rice and vegetables to auto drivers and tempo traveller drives,4/5/2020,3.2,DMK,Palyankottai
Tirunelveli,MP Neyanam thiraviyam gave releif fund to the peoples,5/5/2020,3.5,DMK,No Data
Tirunelveli,Gave releif fund to auto drivers,5/5/2020,2,DMK,No Data
Tirunelveli,Western District Secretary Shiva Padmanathan gave releif fund to 300 peoples,5/5/2020,3.7,DMK,No Data
Tirunelveli,Western District Secretary Shiva Padmanathan gave rice to 106 peoples,5/5/2020,3.2,DMK,No Data
Tirunelveli,Vice President of the State Trading Team  Mr. Ayyada dhurai gave rs. 500 for auto drivers in 9 zones ,6/5/2020,3.7,DMK,Radhapuram
Tirunelveli,In 4 zones releif funds where given,6/5/2020,5.2,DMK,Radhapuram
Tirunelveli,MP Neyanam thiraviyam gave releif fund to the saloon workers,8/5/2020,2,DMK,Palyankottai
Tirunelveli,Eastern District Secretary Avudiyappan gave releif fund to 250 families,9/5/2020,4,DMK,Nanguneri
Tirunelveli,Western District Secretary Shiva Padmanathan gave releif fund to 150 peoples,9/5/2020,3.5,DMK,Palyankottai
Tirunelveli,In poovanoor Western District Secretary Shiva Padmanathan gave releif fund to poor people,11/5/2020,3.5,DMK,Radhapuram
Tirunelveli,In VK Puram zone Eastern District Secretary Avudiyappan gave releif fund to people,11/5/2020,3.5,DMK,Radhapuram
Tirunelveli,"In 4th ward Thachanallur, District Secretary Abdul Wahab gave releif fund to 500 peoples",11/5/2020,4,DMK,Palyankottai
Tirunelveli,In pullukattu valasai Western District Secretary Shiva Padmanathan gave gave releif fund to auto drivers and peoples ,12/5/2020,3.2,DMK,Sankarankovil
Tirunelveli,In 13th and 14th ward Vice President of State Trading Team Mr. Ayyada dhurai gave releif fund to 350 families ,12/5/2020,5.2,DMK,Sankarankovil
Tirunelveli,"Vice President of State Trading Team Mr. Ayyada dhurai gave releif fund in 8,9,10,11 wards 510 families where benifited",14/5/2020,5.5,DMK,No Data
Tirunelveli,In Cheran Mahadevi MP Neyanam thiraviyam gave releif fund to 50 cleaning persons,14/5/2020,2,DMK,No Data
Tirunelveli,In ward 1 Ward Secretary Gobi Sankar gave releif fund to poor people,15/5/2020,3.5,DMK,Palyankottai
Tirunelveli,In 9th and 10th ward Vice President of State Trading Team Mr. Ayyada dhurai gave releif fund to 300 families,15/5/2020,4.2,DMK,Palyankottai
Tirunelveli,Releif fund given to 100 families,16/5/2020,3.7,DMK,No Data
Tirunelveli,MP Neyanam thiraviyam gave releif fund to 750 families,18/5/2020,5.2,DMK,No Data
Tirunelveli,MP Dhanush M Kumar gave releif fund to auto drivers and Musicians,18/5/2020,3.5,DMK,No Data
Tirunelveli,MP Dhanush M Kumar gave releif fund to physically challenged people,18/5/2020,3.2,DMK,No Data
Tirunelveli, District Secretary Avudiyappan  gave releif fund to 200 families ,19/5/2020,3.7,DMK,Sankarankovil
Tirunelveli,Western District Secretary Shiva Padmanathan gave releif fund to 350 poor familes,20/5/2020,4,DMK,Nanguneri
Tirunelveli,In  Secretary Jagadish gave releif fund to 200 peoples,21/5/2020,3.5,DMK,Nanguneri
Tirunelveli,Releif fund given to 100 families,22/5/2020,3.7,DMK,Nanguneri
Tirunelveli,3 north indians given food and money ,22/5/2020,1.7,DMK,Nanguneri
Tirunelveli,In Keela thiruvengadam 7th ward releif fund is given to 400 families,24/5/2020,4.2,DMK,Nanguneri
Tirunelveli,In Surandai On M. Karunanidhi birthday they gave foods to 200 people,27/5/2020,3.5,DMK,Palyankottai
Tirunelveli,On behalf of M. Karunanidhi birthday they gave foods to 500 peoples,27/5/2020,4.5,DMK,Nanguneri
Tirunelveli,On behalf of M. Karunanidhi birthday they gave foods to 100 families,29/5/2020,4.5,DMK,Sankarankovil
Tirunelveli,On behalf of M. Karunanidhi birthday they gavereleif fund to cleaning people,29/5/2020,2,DMK,Sankarankovil
Tirunelveli,In 15th ward they gave releif fund to 1300 fanilies,30/5/2020,5.5,DMK,Sankarankovil
Tirunelveli,In Pudhur releif fund is given to 60 families,30/5/2020,3.5,DMK,No Data
Tirunelveli,On M. Karunanidhi birthday they gave rice to 300 peoples,5/6/2020,4.5,DMK,Radhapuram
Tirunelveli,On M. Karunanidhi birthday they gave essential things  to  300 kasimechapuram peoples,6/6/2020,4.5,DMK,Radhapuram
Tirunelveli,In Valliur releif fund was given to auto drivers,14/5/2020,2.2,AIADMK,Nanguneri
Tirunelveli,Covid releif fund is given to the cleaning peoples by karti chidambaram MP ,5/5/2020,2.2,INC TN,Nanguneri
Tirunelveli,"Suburban District Minority Division Secretary, Mr. Gabriel Rajan gave releif fund to 150 people",5/7/2020,3.2,AIADMK,Nanguneri
Tirunelveli,MP Neyanam thiraviyam gave releif fund to 1000 peoples,8/5/2020,5.2,DMK,Nanguneri
Tirunelveli,In ward 1 Eastern District Secretary Avudiyappan gave releif fund to people,14/5/2020,3.7,DMK,Nanguneri
Tirunelveli,On M. Karunanidhi birthday they gave foods to 5000 peoples,5/6/2020,5.5,DMK,Nanguneri
Tirunelveli,"Thachanallur Tirunelveli district, Mallory, palaiyankottai areas secretaries in the Round of 55 to 10 kg each of rice, wheat, sugar, rice, dal and relief goods donated to the city, the county Board Secretary tirutaccai enkanecan. #AIADMK #coronavirus",5/8/2020,3.7,ADMK ,Palyankottai
Tirunelveli,In 30th ward melapalayam District Secretary Abdul Wahab gave food to the peoples,4/5/2020,3.5,DMK,Palyankottai
Tirunelveli,In 14th ward district Secretary Abdul Wahab gave releif fund to peoples,15/5/2020,3.7,DMK,Palyankottai
Tirunelveli,In 22nd ward district Secretary Abdul Wahab gave rice to 100 people,22/5/2020,3.2,DMK,Palyankottai
Tirunelveli,In Perumalpuram releif fund is given,23/5/2020,3.7,DMK,Palyankottai
Tirunelveli,In sambakadai On M. Karunanidhi birthday they gave releif fund to people ,7/6/2020,4.5,DMK,Palyankottai
Tirunelveli,In 5 ward Deputy organizer of the district weaving team Maari saamy distributed 25 releif fund to poor peoples,2/5/2020,3.5,DMK,Sankarankovil
Tirunelveli,Vice President of State Trading Team Mr. Ayyada dhurai gave Rs. 500  each to auto drives,2/5/2020,2,DMK,Sankarankovil
Tirunelveli,In Sankara Nayinar Temple Vice President of State Trading Team Mr. Ayyada dhurai gave 2500 each to tepmle organisers,2/5/2020,4,DMK,Sankarankovil
Tirunelveli,Western District Secretary Shiva Padmanathan gave releif fund to 350 poor familes,20/5/2020,4,DMK,Sankarankovil
Tirunelveli,On behalf of M. Karunanidhi birthday they gavereleif fund to cleaning people,29/5/2020,2,DMK,Sankarankovil
Tirunelveli,"Corona virus infection of defense in Tirunelveli district, poor families, the secretary of state associations, district chairman of Oil tirucutaparamacivam they presented relief items. #Corona #TNAgainstCorona #Coronavirus #TamilNadu",5/2/2020,2.8,ADMK ,Sankarankovil
Tirunelveli, District Secretary Avudiyappan  gave releif fund to 200 families ,19/5/2020,3.7,DMK,Radhapuram
Tirunelveli,In  Secretary Jagadish gave releif fund to 200 peoples,21/5/2020,3.5,DMK,Radhapuram
Tirunelveli,In Valliur releif fund was given to auto drivers,14/5/2020,2.2,AIADMK,Radhapuram
Tirunelveli,Tirunelveli District vijayapati relief supplies to all families residing in the village uratcikkutpatta katutala legislator Mr. I.S. inpaturai gave them. # Kalattilatimukakanamalponatimuka #coronavirus #TMAgainstCorona,5/21/2020,3.5,ADMK ,Radhapuram
Tirunelveli,"Kottaikarunkulam tokutikkutpatta  Tirunelveli District, the public areas vativammanpatti legislator Mr Rice collection. I.S. Inba durai gave them. # Kalattilatimukakanamalponatimuka #Corona #TNAgainstCorona #TamilNadu",5/22/2020,1.7,ADMK ,Radhapuram
Tirunelveli,"Tirunelveli District,  tokutikkutpatta SC bags of rice free of cost to people living in residential areas tiruinpaturai legislator gave them. #Corona #TNAgainstCorona",5/27/2020,3.2,ADMK ,Radhapuram
Tirunelveli,Tirunelveli District Panchayat ratapuram Kasba Assembly constituency Uvari Uvari over 700 families residing in the areas of kila Uvari legislator tiruaiesinpaturai gave them relief items. # Kalattilatimukakanamalponatimuka #Corona #TNAgainstCorona,6/8/2020,5.2,ADMK ,Radhapuram
Tirunelveli,In 4 zones releif funds where given,6/5/2020,5.2,DMK,Tenkasi
Tirunelveli,In 13th and 14th ward Vice President of State Trading Team Mr. Ayyada dhurai gave releif fund to 350 families ,12/5/2020,5.2,DMK,Tenkasi
Tirunelveli,"Vice President of State Trading Team Mr. Ayyada dhurai gave releif fund in 8,9,10,11 wards 510 families where benifited",14/5/2020,5.5,DMK,Tenkasi
Tirunelveli,MP Dhanush M Kumar gave releif fund to auto drivers and Musicians,18/5/2020,3.5,DMK,Tenkasi
Tirunelveli,MP Dhanush M Kumar gave releif fund to physically challenged people,18/5/2020,3.2,DMK,Tenkasi
Tirunelveli,Releif fund given to 100 families,22/5/2020,3.7,DMK,Tenkasi
Tirunelveli,3 north indians given food and money ,22/5/2020,1.7,DMK,Tenkasi
Tirunelveli,In Keela thiruvengadam 7th ward releif fund is given to 400 families,24/5/2020,4.2,DMK,Tenkasi
Tirunelveli,Gave provision to court working persons,"Friday, June 26, 2020",3,DMK,Sankarankovil
Tirunelveli,In kadayanallur releif fund were given to 2000 people,"Sunday, June 28, 2020",2.1,DMK,Radhapuram
Tirunelveli,In vedhanayapuram releif fund given to 300 people,"Friday, July 3, 2020",3.4,DMK,Sankarankovil
Tirunelveli,In ambai kabasura kudineer given to people,"Friday, July 10, 2020",3.3,DMK,Nanguneri
Tirunelveli,On behalf of karunanithi birthday releif fund were given to 2000 kadayanallur people,"Saturday, July 11, 2020",2.4,DMK,Nanguneri
Tirunelveli,Kabasura kudineer were given to people,"Monday, July 13, 2020",3.1,DMK,Radhapuram
Tirunelveli,For 200 musicians releif fund is given,"Sunday, July 19, 2020",4,ADMK,Palyankottai
Tirunelveli,Releif fund is given to all people,"Friday, July 24, 2020",3.2,ADMK,Radhapuram
Tirunelveli,On behalf of M. Karunanidhi birthday they gave foods to 500 peoples,27/5/2020,4.5,DMK,Tenkasi
TIRUVALLUR,"250 people were given Rice, vegetables , groceries in MGR nagar 21st ward","Friday, May 01, 2020",2,ADMK,No Data
TIRUVALLUR,"500 people were given 10kg Rice in Mappedu ,kadambattur","Friday, May 01, 2020",2.45 ,ADMK,TIRUVALLUR
TIRUVALLUR,"2000 families in Sholavaram were given releif aid worth of Rs.Lakhs includes Rice,vegetables , groceries etc","Friday, May 01, 2020",3,ADMK,MADHAVARAM
TIRUVALLUR,Food (Lunch and breakfast) has been provided in Tirutani over 30 days to 30000 people ,"Friday, May 01, 2020",4.90 ,ADMK,TIRUTANI
TIRUVALLUR,"200 autodrivers in Tirutanni were given relief aid of rice,vegetables and groceries","Friday, May 01, 2020",2,ADMK,TIRUTANI
TIRUVALLUR,"40 working cleaners in Govt Hospital of Tirutani were given relief aid of rice,vegetables and groceries","Friday, May 01, 2020",1,ADMK,TIRUTANI
TIRUVALLUR,"320 poeple at amirthapuram in Tirutanni were given relief aid of rice,vegetables and groceries","Friday, May 01, 2020",2,ADMK,TIRUTANI
TIRUVALLUR,"6000 families in ponneri and Minjur  were given releif aid includes Rice,vegetables , groceries etc","Saturday, May 02, 2020",3.46 ,ADMK,PONNERI
TIRUVALLUR,"300 poeple at Tiruvalluvar nagar  in Tiruvallur  were given relief aid of rice,vegetables and groceries","Saturday, May 02, 2020",2,ADMK,TIRUVALLUR
TIRUVALLUR,"750 poeple at Tiruvalangaadu  in Tiruvallur  were given relief aid of rice,vegetables and groceries","Saturday, May 02, 2020",2.45 ,ADMK,TIRUVALLUR
TIRUVALLUR,"1000 autodriver and barbers in ponneri and Minjur  were given releif aid includes Rice,vegetables , groceries etc","Sunday, May 03, 2020",3,ADMK,PONNERI
TIRUVALLUR,"people were given Rice, vegetables , groceries in  21st ward of tirutani worth of Rs. 3 lakhs","Sunday, May 03, 2020",2,ADMK,TIRUTANI
TIRUVALLUR,"Reporters /TV xhannel executives at  Tiruvallur  were given relief aid of 10kg rice,vegetables and groceries","Sunday, May 03, 2020",2,ADMK,TIRUVALLUR
TIRUVALLUR,"500 families in ellapuram constituency, distributed Rice, Vegetables","Monday, May 04, 2020",2.45 ,DMK,GUMMIDIPOONDI
TIRUVALLUR,800 families were given 5kg of rice in MGR nagar at Tirutani,"Monday, May 04, 2020",2.45 ,DMK,TIRUTANI
TIRUVALLUR,Lunch provided for people residing in minjur vannipakkam,"Monday, May 04, 2020",2,DMK,PONNERI
TIRUVALLUR,Kaatur constiutncy people were given kabaasura kudi neer,"Monday, May 04, 2020",2,DMK,TIRUTANI
TIRUVALLUR,vallur  constiutncy people were given kabaasura kudi neer,"Monday, May 04, 2020",2,DMK,PONNERI
TIRUVALLUR,"2 Family who contacted for relief aid were given rice,vegetables,groceries in anupampattu","Monday, May 04, 2020",1,DMK,PONNERI
TIRUVALLUR,"1 Family who contacted for relief aid were given rice,vegetables,groceries inMinjur","Monday, May 04, 2020",1,DMK,PONNERI
TIRUVALLUR,"1 Family who contacted for relief aid were given rice,vegetables,groceries in vallur","Monday, May 04, 2020",1,DMK,PONNERI
TIRUVALLUR,"1 Family who contacted for relief aid were given rice,vegetables,groceries in thiruvellaivayal","Monday, May 04, 2020",1,DMK,PONNERI
TIRUVALLUR,"1 Family who contacted for relief aid were given rice,vegetables,groceries in athipattu","Monday, May 04, 2020",1,DMK,PONNERI
TIRUVALLUR,Lunch provided for people  in minjur nandhiyambakkam,"Monday, May 04, 2020",2,DMK,PONNERI
TIRUVALLUR,Thadaperumbakkam constiutncy people were given kabaasura kudi neer,"Monday, May 04, 2020",2,DMK,PONNERI
TIRUVALLUR,perur constiutncy people were given Rice as relief aid,"Monday, May 04, 2020",2,DMK,No Data
TIRUVALLUR,"1 Family who contacted for relief aid were given rice,vegetables,groceries in arani perur","Monday, May 04, 2020",1,DMK,No Data
TIRUVALLUR,"Puchammal street , Market faram of Thiruvottiyur constiuency 500 families were given 5kg of rice by the MLA Rajesh","Tuesday, May 05, 2020",2.45 ,ADMK,THIRUVOTTIYUR
TIRUVALLUR,Around 120 families in Ponneri mettu colony were given  essential relief aid ,"Saturday, May 09, 2020",2,DMK,PONNERI
TIRUVALLUR,"Provided rice, vegetables and groceries to 1000 of families of the Madhavaram constituency in their organization. ","Thursday, May 14, 2020",3,DMK,MADHAVARAM
TIRUVALLUR,"Over 70000 people lives in cottage area in Avadi, Each member in the family has been given two masks, so that 1,40,000 masks has been given so far","Saturday, May 16, 2020",7.35 ,ADMK,AVADI
TIRUVALLUR,Provided rice and vegetables  to the families in Tiruvottriyur zone 14,"Saturday, May 16, 2020",2,DMK,THIRUVOTTIYUR
TIRUVALLUR,"Provided 5kg rice for families in Madhaavaram, Puzhal,Kannampalayam","Sunday, May 17, 2020",2,DMK,MADHAVARAM
TIRUVALLUR,"Due to corono, material assistance has been provided to the family of Avadi Nandagopal headed by Thiruvallur South East District Secretary Avadi Babu and the family of Avadi Narendra Kumar has been provided with 125 families.","Sunday, May 17, 2020",2,MNM,AVADI
TIRUVALLUR,Thiruvottiyur  Essential needs were given  to Simple People and #cleaning workers,"Sunday, May 17, 2020",2,TMC,THIRUVOTTIYUR
TIRUVALLUR,"On behalf of the SC department of Thiruvallur district, Ambattur assembly constituency, essential commodities were provided to the public.","Monday, May 18, 2020",2,INC Tamilnadu,AMBATTUR
